bodyId,x,y,z
576079106,4703,27693,15256
576161592,10025,32911,19648
576502536,6420,20209,5408
576566223,17227,35283,20720
576574889,20595,30154,6056
576843029,9318,30949,12080
577455404,6191,27659,31752
577473231,32805,33220,21792
577554935,32606,32078,9168
578189223,33983,32746,22416
578254032,16603,32489,9408
578284233,6437,13430,14736
578530106,33244,32784,22368
578556621,6256,18505,4848
578694777,28476,33160,10496
578893446,10540,30547,9840
579230376,3685,24096,13480
579234980,5116,22436,5312
579235017,11916,34813,23888
579268807,19314,9801,20416
579536041,9203,11438,23184
579575594,9189,15203,9248
579576294,7395,14015,14056
579583329,9628,11042,14448
579592619,15883,9277,14304
579596940,11369,30190,9096
579648510,25325,32971,17856
579911580,3817,21528,6816
579912201,14835,27238,31472
579916831,6075,13121,12928
579924731,8205,11794,13456
579928928,14031,9927,12792
579946370,12421,31999,18768
580244242,14784,28377,6020
580282938,5996,18235,5848
580287695,4939,19714,3984
580317662,20076,33571,9728
580585323,16488,30951,7824
580598373,10817,10418,15296
580610916,14538,14977,8368
580611301,12881,11598,14616
580934661,16654,15682,7880
580947602,11331,14758,8584
580951922,13421,13067,8192
581060581,24203,31381,6400
581121328,32764,34409,17208
581293182,18023,14859,10432
581332573,21131,36586,20440
581336531,20639,31167,7176
581633934,7177,12967,12184
581678043,14097,34584,22424
582027783,19130,32351,7568
582101022,24167,30876,8680
582101205,21425,29822,5320
582139830,32721,33987,14808
582148591,32573,34144,15292
582355376,22517,35499,20608
582696254,3393,24978,12032
582700300,3039,24694,11496
582709537,19054,32796,8096
583175492,29797,33304,10368
599674785,11458,13570,9208
600011602,11941,13632,8960
600356751,10337,14105,7752
600365719,12165,15428,8976
600667501,8855,13756,8680
600684832,9250,14735,7984
600689582,11480,14545,8968
600693904,10558,14994,7936
600702348,6123,16246,6456
600702483,6563,16686,5464
600965298,5324,14889,8816
600978553,6462,15124,8960
601047826,12850,15917,7848
601047827,12904,15552,8352
601047853,11776,16776,5712
601302278,4492,15040,9056
601315273,6131,15504,8912
601319398,5282,15419,8640
601323921,6908,15287,9008
601388689,13078,15597,8792
601712754,10297,15651,7848
601725442,13049,16248,7336
601725569,13375,15625,9104
602118253,19949,18113,5680
602459169,19289,17835,5424
602459213,19889,17650,6016
602459682,18941,18437,4376
602476655,20276,16696,9136
602808843,11799,15683,6600
602809029,20489,17916,6224
603422422,9713,13096,8600
603477954,17136,19943,4800
603478303,17548,18534,6832
604070461,4435,14061,15408
604195247,22610,23273,3456
604364004,14739,29284,6748
604709727,20729,12119,18592
604791287,18632,14860,14736
604864322,21290,9953,16712
606090268,14585,36529,26792
607131089,34230,33119,22416
607195856,12764,34944,23608
607251100,16216,24390,4204
607787538,9608,11587,18008
607855896,6815,26031,31536
608261812,19325,17641,8384
608628936,10588,12678,14800
608922563,9181,12702,15344
609247082,4073,25677,15840
609587511,3869,27285,18208
609591758,3434,26101,16200
609591880,3536,26740,17028
609591989,2496,26132,17432
609656444,18723,35076,14776
609867847,34338,33255,21856
609975449,10884,32916,16408
610274029,20783,32839,35256
610312734,23544,30659,8680
610321430,18925,26183,3968
610321522,20849,31793,7568
610571450,33495,33161,21568
610611010,8452,13464,11536
610618198,14379,15486,8448
610666582,20990,10777,17448
610731053,24686,31266,6976
610968248,12905,15454,7152
610981555,20323,14672,12672
611037750,28802,28526,4696
611300533,8536,11474,14176
611304789,9132,12020,13608
611305085,14287,9607,14744
611629428,22337,11376,17928
611646050,9931,12288,14008
611646132,13607,10383,12160
611646147,9052,12169,14512
611974080,10821,15663,6992
612004584,14862,29193,28568
612034653,14162,34153,19624
612323667,16793,13953,8448
612371421,22885,28879,4624
612414168,27990,31040,5560
612422902,21878,29532,4816
612440702,33989,34260,16384
612638791,20171,32369,8112
612652688,5090,20241,3848
612668833,16244,16908,8912
612703762,13997,33001,22136
612712334,2486,24004,12784
612738462,25256,27763,8768
612742137,28577,29642,4680
612742224,29184,28854,4688
612742229,27654,29405,6128
612742248,27966,30195,5552
612742298,28085,29588,4760
612742316,28819,30528,5328
612746557,29664,30400,5104
612746670,27975,29261,5832
612755343,29053,28161,5120
613040803,14397,32177,24928
613044611,23560,34153,12904
613066879,16441,34582,15536
